6	42165843	42166344	57203	456.02059991328	*	-4.02
9	71513676	71514177	68300	407.235381958268	*	-3.48
22	37580760	37581261	41888	355.114492834996	*	-6.36
21	41357638	41358139	40770	348.894102897007	*	-2.25
4	30844091	30844592	48323	336.270879970299	*	-6.16
10	4731451	4731952	6973	317.670038896078	*	-6.41
MT	13066	13567	70592	313.615107430454	*	-1.36
4	30243193	30243694	48315	310.835460514501	*	-5.58
12	5192224	5192725	14077	308.507808873446	*	-5.54
9	123488776	123489277	69656	288.507808873446	*	-4.44
4	78156365	78156866	49255	278.416375079047	*	-3.66
14	106031457	106031958	20163	277.798919119599	*	2.07
14	106151053	106151554	20172	269.172146296835	*	3.89
1	155214326	155214827	3580	264.045037781744	*	0.91
7	121675983	121676484	62603	251.758741660834	*	-2.16
22	29261117	29261618	41559	247.904849854574	*	-5.32
12	80234008	80234509	16037	239.546770212133	*	-4.76
5	115919960	115920461	54010	235.016894462104	*	-4.93
2	158754235	158754736	35838	228.153085691824	*	1.86
21	45380005	45380506	41005	226.516951369518	*	-3.67
6	48805476	48805977	57371	223.01029995664	*	-3.85
MT	4562	5063	70587	221.290111862394	*	-1.35
3	9791050	9791551	42627	212.839966563652	*	-3.04
GL000220.1	117727	118228	70469	211.617807780924	*	0.46
2	217085330	217085831	37164	210.594835150674	*	3.17
8	10650278	10650779	64310	209.244530386075	*	-7.44
9	4863695	4864196	67483	199.913998282381	*	-4.33
3	188591958	188592459	47140	199.746941347352	*	-8.66
11	79722306	79722807	12542	199.586073148418	*	-6.45
9	85810464	85810965	68588	194.8280410205	*	-4.29
X	152053858	152054359	72909	194.8280410205	*	-6.9
MT	14601	15102	70593	194.377071355435	*	-0.84
14	70496814	70497315	19566	193.269790928711	*	-7.25
7	130911721	130912222	62940	192.572748686953	*	-3.07
7	158959114	158959615	64021	191.674910872938	*	6.47
19	50288357	50288858	31501	187.798919119599	*	-6.14
4	146765397	146765898	50578	187.520267336382	*	-6.34
6	76961787	76962288	57778	185.301779840218	*	-3.57
11	35084465	35084966	11324	184.497716469449	*	-4.57
19	39335928	39336429	31013	182.41088107602	*	-7.24
